"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"The Shawshank Redemption","(1994)","9.3","Drama",NA,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown","
        
            Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
    ","(2,504,638)","Frank Darabont","
Nominated for 7 Oscars. Another 21 wins & 36 nominations.
            ","
                    $25,000,000 (estimated)
            ","
                    $727,326, 20 Nov 1994
            ","
                    $58,500,000
            ","
                            142 min
                        "
"The Godfather","(1972)","9.2","Crime","Drama","Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall","
        
            The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael.
    ","(1,726,411)","Francis Ford Coppola","
Won 3 Oscars. Another 28 wins & 30 nominations.
            ","
                    $6,000,000 (estimated)
            ","
                    $223,758, 04 Apr 1997
            ","
                    $245,066,411
            ","
                            175 min
                        "
"The Dark Knight","(2008)","9.0","Action","Crime","Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal","
        
            When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
    ","(2,454,169)","Christopher Nolan","
Won 2 Oscars. Another 157 wins & 163 nominations.
            ","
                    $185,000,000 (estimated)
            ","
                    $158,411,483, 20 Jul 2008
            ","
                    $1,004,558,444, 19 Jul 2012
            ","
                            152 min
                        "
"The Godfather: Part II","(1974)","9.0","Crime","Drama","Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale","
        
            The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
    ","(1,197,956)","Francis Ford Coppola","
Won 6 Oscars. Another 11 wins & 20 nominations.
            ","
                    $13,000,000 (estimated)
            ","
                    $244,000
            ",NA,"
                            202 min
                        "
"The Lord of the Rings: The Return of the King","(2003)","8.9","Action","Adventure","Noel Appleby,Ali Astin,Sean Astin,David Aston,John Bach","
        
            Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
    ","(1,730,216)","Peter Jackson","
Won 11 Oscars. Another 198 wins & 124 nominations.
            ","
                    $94,000,000 (estimated)
            ","
                    NZD2,609,992, 21 Dec 2003
            ","
                    $1,119,929,521, 25 Nov 2011
            ","
                            201 min
                        "
"Pulp Fiction","(1994)","8.9","Crime","Drama","Tim Roth,Amanda Plummer,Laura Lovelace,John Travolta,Samuel L. Jackson","
        
            The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
    ","(1,932,560)","Quentin Tarantino","
Won 1 Oscar. Another 69 wins & 75 nominations.
            ","
                    $8,000,000 (estimated)
            ","
                    $9,311,882, 14 Oct 1994
            ","
                    $213,928,762
            ","
                            154 min
                        "
"Schindler's List","(1993)","8.9","Biography","Drama","Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall","
        
            In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
    ","(1,281,565)","Steven Spielberg","
Won 7 Oscars. Another 84 wins & 49 nominations.
            ","
                    $22,000,000 (estimated)
            ","
                    $566,760, 09 Dec 2018
            ","
                    $221,000,000
            ","
                            195 min
                        "
"Fight Club","(1999)","8.8","Drama",NA,"Edward Norton,Brad Pitt,Meat Loaf,Zach Grenier,Richmond Arquette","
        
            An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
    ","(1,970,380)","David Fincher","
Nominated for 1 Oscar. Another 11 wins & 37 nominations.
            ","
                    $63,000,000 (estimated)
            ","
                    $71,000,000
            ",NA,"
                            139 min
                        "
"The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","Action","Adventure","Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Sean Bean","
        
            A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
    ","(1,751,519)","Peter Jackson","
Won 4 Oscars. Another 117 wins & 126 nominations.
            ","
                    $93,000,000 (estimated)
            ","
                    NZD2,945,822, 26 Dec 2001
            ","
                    $871,530,324, 25 Nov 2011
            ","
                            178 min
                        "
"Forrest Gump","(1994)","8.8","Drama","Romance","Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,Harold G. Herthum","
        
            The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.
    ","(1,933,337)","Robert Zemeckis","
Won 6 Oscars. Another 44 wins & 75 nominations.
            ","
                    $55,000,000 (estimated)
            ","
                    $24,450,602, 10 Jul 1994
            ","
                    $677,945,399
            ","
                            142 min
                        "
